,normal limits,normal chest x ray,normal for age,hyperinflation,atelectasis,compressive atelectasis,platelike atelectasis,small lung volume,fibrotic changes,bronchiectasis,infiltrate,consolidation,contusion,opacity,pneumonitis,atypical pneumonia,tuberculosis,granulomatous disease,bronchopneumonia,pulmonary vascular congestion,pulmonary edema,heart failure,bronchial wall thickening,peribronchial thickening,air bronchogram,granuloma,nodule,mass,interstitial markings,interstitial lung disease,interstitial infiltrate,air trapping,pulmonary fibrosis,pleural thickening,pneumothorax,pleural calcifications,cardiomegaly,heart size,normal heart size,dextrocardia,aortic calcification,lymphadenopathy,tortuous aorta,aortic atherosclerosis,mediastinal widening,tracheostomy,mediastinal mass,hilar mass,pulmonary hypertension,pneumomediastinum,elevated diaphragm,flat,degenerative changes,rib fracture,scoliosis,kyphosis,osteophyte,osteopenia,mineralization,arthritis,pectus deformity,humerus fracture,clavicular fracture,thoracotomy,cervical rib,dish,arthroplasty,calcific tendinitis,resection,skin fold,nipple,motion artifact,cholecystectomy,central line,et tube,ecmo,orogastric tube,vascular stent,surgical clips,cabg,chest tube,ecg,swan ganz catheter,sutures,breast implant,stimulator,staples,drainage catheter,pigtail catheter,foreign body,oxygen tubing
43, heart and vessels are within normal limits,,,, strandy opacities are present in the lung bases likely reflects subsegmental atelectasis,,,,,, there is patchy infiltrate in the periphery of the right upper lobe, there is consolidation at the left base,, perihilar bronchovascular congestion is present asymmetrically increased on the right where there is also a patchy airspace opacity in the right lower lobe with obscuration of the right hemidiaphragm,,,,,,, lungs bilateral interstitial and pulmonary vascular prominence suggestive of mild pulmonary edema,,,,,,,,,,,,,, pneumothorax,, there is cardiomegaly pulmonary venous congestion, heart size is normal,,,,,,,,,,,,,, there is hyperinflation, degenerative changes are present shoulders bilaterally,,,,,, there is moderate demineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44, pulmonary vasculature within normal limits,,,, impression new small pleural effusions with dependent strandy opacities likely due to subsegmental atelectasis,,,,,, report impression right lower lung infiltrate with pleural effusion, unchanged left basilar consolidation which may represent atelectasis aspiration and or infection,, overlapping densities versus mid posterior lung base opacity small bladder capacity of the anterior chest is likely old postinflammatory scarring,,,,,,, mild pulmonary edema and small bilateral pleural effusions,,,,,,,,,,,,,, findings a left sided chest tube is in place with interval near complete reduction of the previously identified pneumothorax,, mild cardiomegaly, heart size normal and stable,,,,,,,,,,,,,, hyperinflation, moderate to advanced degenerative changes in the thoracic spine,,,,,, moderate demineralization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, heart and vessels are within normal limits,,,, findings lungs pleural space low lung volumes with mild patchy atelectasis,,,,,, small infiltrate in the periphery of the right upper lobe, lungs patchy consolidation left base slightly worsened on yesterday s exam,, mild posterior mid lung base opacity appears to be new overlapping densities or possibly pneumonia this report was electronically signed by doctor name on date time am,,,,,,, there is mild pulmonary edema,,,,,,,,,,,,,, interval placement of left sided chest tube with near complete reduction of the left pneumothorax when compared to ct from date ,, cardiomegaly and bibasilar atelectasis, findings heart size and pulmonary vasculature appear unremarkable,,,,,,,,,,,,,, technique pa and lateral radiographs findings lungs the lung inflation is normal with mild elevation of the right hemidiaphragm, moderate to severe degenerative changes of the visualized spine,,,,,, the bony mineralization is mildly decreased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46, cardiac and mediastinal contours are within normal limits,,,, there is mildly increased opacity in the right lower lung consistent with infiltrate and or atelectasis,,,,,, the lung fields demonstrate coarsening of bronchovascular markings but are well expanded without infiltrate mass effusion or pneumothorax, patchy consolidation in the posterior left lung base consistent with pneumonia,, findings lungs clear without focal lung opacity,,,,,,, mild cardiomegaly with mild pulmonary edema and small bilateral effusions layering on the right,,,,,,,,,,,,,, small right pneumothorax unchanged,, mild cardiomegaly, heart size is normal,,,,,,,,,,,,,, lungs are hyperinflated consistent with copd, degenerative changes involve the spine,,,,,, the bony mineralization is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47, the cardiomediastinal silhouette is within normal limits,,,, there is likely compressive atelectasis in the left lower lung,,,,,, history follow up infiltrate, lungs the patchy areas of groundglass and consolidation seen on the prior exam have become more confluent and are superimposed on the coarse reticular opacity seen on the prior exam,, mild opacity in the left lung base also unchanged,,,,,,, the heart is normal in size without evidence of pulmonary edema,,,,,,,,,,,,,, pneumothorax none,, mild cardiomegaly, date examination chest views with date comparison clinical history cough findings heart size and pulmonary vascularity are normal,,,,,,,,,,,,,, accounting for degree of inflation right lung is clear, the visualized osseous structures demonstrate degenerative changes,,,,,, the bony mineralization is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, cardiac silhouette projects within normal limits,,,, mildly increased atelectasis or infiltrate in the right lower lung,,,,,, lungs and pleural spaces remain clear without interval pulmonary infiltrates masses or pleural effusions, worsening bilateral parenchymal consolidations largely involving the mid and lower lung zones concerning for pneumonia in the appropriate context,, linear opacity within the right lung base is most consistent with atelectasis,,,,,,, question of mild pulmonary vascular congestion without evidence of pulmonary edema,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, similar cardiomegaly, heart size is enlarged with atherosclerotic plaques in the aorta,,,,,,,,,,,,,, the lungs are hyperinflated, mild shoulder and thoracic degenerative changes,,,,,, there is mild demineralization of the visualized osseous structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49, heart and mediastinum are within normal limits,,,, the lung volumes and basilar atelectasis,,,,,, there is a large right sided pleural effusion with right lower lobe infiltrate which is increased since the prior study, lungs patchy consolidations in the right upper lobe and bilateral lung bases concerning for pneumonia or aspiration,, lungs persistent focal opacity of the left upper lobe left midlung and left lower lobe,,,,,,, findings lungs the lungs demonstrate fluid pulmonary edema and airspace density in a perihilar and lower lung field distribution bilaterally,,,,,,,,,,,,,, pneumothorax none,, cardiomegaly vascular congestion and moderate right pleural effusion most consistent with acute chf, the heart size is normal,,,,,,,,,,,,,, lungs adequately inflated lungs are clear, degenerative changes are seen in the spine,,,,,, mild demineralization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50, heart and mediastinum cardia silhouette within normal limits,,,, there is linear atelectasis in the right midlung field,,,,,, report impression increasing size of right sided pleural effusion and right lower lobe infiltrate, patchy consolidations compatible with pneumonia or aspiration cxrv ,, comparison exam date findings there is an oblique linear opacity in the left posterior lung base consistent with scarring unchanged from comparison study,,,,,,, marked pulmonary edema likely from congestive heart failure,,,,,,,,,,,,,, pneumothorax none,, heart and mediastinum massive cardiomegaly, the heart size is borderline enlarged and stable,,,,,,,,,,,,,, the lungs are hyperinflated but otherwise clear, bones degenerative changes bilateral chronic clavicular joint,,,,,, the bony mineralization is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, findings heart size is within normal limits,,,, atelectasis right mid lung field,,,,,, persistent right lower lobe infiltrate, the lungs are without gross focal consolidation,, findings lungs minimal opacity in the left upper lobe with a few small tiny nodules likely calcified,,,,,,,,,,,,,,,,,,,,, pneumothorax none,, massive cardiomegaly, findings heart size is within normal limits,,,,,,,,,,,,,, findings on a prior chest examination obtained on date there was evidence of mild pulmonary hyperinflation, there are mild degenerative changes of the thoracic spine with small lateral marginal osteophytes at a few levels and there is mild curvature of the thoracic spine with the apex to the right,,,,,, the bony mineralization is mildly decreased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52, pulmonary vessels are is within normal limits,,,, this may be associated with pneumonia or atelectasis,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax, areas of consolidation in the perihilar portion of the left lung and retrocardiac portion of the right lower lobe remain unchanged,, mild ill defined opacity in the left upper lobe with a few tiny calcified nodules,,,,,,,,,,,,,,,,,,,,, pneumothorax none,, borderline cardiomegaly impression right picc line with tip in svc this report was electronically signed by doctor name on date time pm, findings heart size is within normal limits,,,,,,,,,,,,,, cptcode lat report header abdomen kub report body flat plate of the abdomen, there mild degenerative changes of the thoracic spine with small lateral marginal osteophytes at several levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53, bone mineralization appears within normal limits,,,, lungs are clear without significant infiltrate mass or atelectasis,,,,,, findings there is right infrahilar infiltrate, persistent left perihilar and right infrahilar consolidation,, there are appears to be lingular opacity as well,,,,,,,,,,,,,,,,,,,,, there is a question of a tiny apical pneumothorax on the right,, mild cardiomegaly, heart size is normal,,,,,,,,,,,,,, findings lungs the lung inflation is normal, mild degenerative changes in the thoracic spine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54, examination frontal and lateral radiographs of the chest comparison none history cough and dyspnea findings the cardiomediastinal silhouette is within normal limits,,,, there is basilar atelectasis more prominent on the left with elevation of the left hemidiaphragm,,,,,, report impression right infrahilar infiltrate, pulmonary edema with patchy atelectasis versus consolidation in the bases,, bilateral airspace opacity likely representing pneumonia in the correct clinical setting,,,,,,,,,,,,,,,,,,,,, question tiny apical pneumothorax on the right,, report impression cardiomegaly, heart size is normal,,,,,,,,,,,,,,, multifocal degenerative changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55, heart and vessels are within normal limits,,,, impression probable small left pleural effusion and bibasilar atelectasis,,,,,, report impression diminished right lower lobe infiltrate, the lung fields are symmetrically well expanded without focal consolidation or discrete pleural space abnormality,, findings the lungs are clear without focal opacity,,,,,,,,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, borderline cardiomegaly, findings heart size is within normal limits,,,,,,,,,,,,,,, slight chronic and degenerative changes evident in the spine and shoulder girdles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56, pulmonary vasculature is within normal limits,,,, patchy left basilar airspace opacity subsegmental atelectasis versus pneumonia please correlate clinically,,,,,, anterior pain lifting sharp pain in rib area findings exams report header chest x ray v report body pa chest lungs and pleura are well ventilated and negative for overt to infiltrate or fluid, bibasilar atelectasis and or consolidation is unchanged,, basilar infrahilar airspace opacity is present bilaterally involving the lung bases,,,,,,,,,,,,,,,,,,,,, pneumothorax none,, report impression stable chest with cardiomegaly, comparison date findings normal heart size,,,,,,,,,,,,,,, the osseous structures demonstrate age appropriate degenerative changes in the thoracic spine with some mild anterior osteophytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57, hilar contours are within normal limits,,,, comparison date findings there is mild focal atelectasis or scarring in the lingula similar in appearance to the comparison study,,,,,, lungs are well expanded and free of acute infiltrate, the pulmonary parenchyma is clear without focal findings such as consolidation mass effusion or pneumothorax,, mild patchy airspace opacity at both lung bases without consolidation,,,,,,,,,,,,,,,,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,, mild cardiomegaly, cardiac normal heart size midline trachea patent,,,,,,,,,,,,,,, mild degenerative changes of the thoracic spine are seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58, findings the heart and mediastinum are within normal limits,,,, findings favor bibasilar atelectasis and or pneumonia without evidence of florid pulmonary edema,,,,,, there is a mild right suprahilar infiltrate, findings cardiomediastinal silhouette enlarged lungs right greater than left patchy consolidations and atelectasis of the mid to lower lung zones,, report impression mild patchy airspace opacity at both lung bases which may represent scarring atelectasis or pneumonia,,,,,,,,,,,,,,,,,,,,, persistent tiny left apical pneumothorax without tension component,, findings there is cardiomegaly, heart size pulmonary vasculature and mediastinal contour appear within normal limits,,,,,,,,,,,,,,, bones degenerative changes involving both shoulders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59, findings the mediastinum is within normal limits,,,, minimal right basilar atelectasis,,,,,, report impression mild right suprahilar infiltrate, decreased lung volumes with right greater than left consolidations and atelectasis,, findings lungs pleura there is increased left lower lobe retrocardiac opacity with obscuration of the left hemidiaphragm,,,,,,,,,,,,,,,,,,,,, tiny left apical pneumothorax,, cardiomegaly, examination chest views with date comparison clinical history cough findings heart size and pulmonary vascularity are normal,,,,,,,,,,,,,,, bony structures demonstrate degenerative changes of the shoulders including acromioclavicular spurring and calcific tendinosis right rotator cuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60, report impression within normal limits radiographically,,,, left basilar opacity which may represent an infiltrate or atelectasis,,,,,, report impression bibasilar infiltrates, there is left lower lobe parenchymal consolidation,, there is increased opacity within the left lower lobe concerning for acute infiltrates,,,,,,,,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, cardiomegaly is stable with atherosclerotic plaque seen in the aorta, cardiac heart size appears mildly enlarged although is likely accentuated by ap technique,,,,,,,,,,,,,,, moderate degenerative changes in spine and shoulder girdles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61, heart and vessels are within normal limits,,,, subtle right basilar atelectasis,,,,,, report impression patchy left lower lobe infiltrate, impression there is small left pleural effusion and left lower lobe parenchymal consolidation,, findings pa and lateral views the chest demonstrate slight linear opacity in the left lower lung that suggests atelectasis and or fibrosis,,,,,,,,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, comparison date findings heart and mediastinum mild cardiomegaly, heart size is normal,,,,,,,,,,,,,,, report impression mild degenerative changes in both hips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62, the cardiomediastinal contours are within normal limits,,,, mild atelectasis and or scarring in the posterior lung base,,,,,, lungs are clear without significant infiltrate mass or atelectasis, indication dyspnea chest one view report compared to date bilateral pulmonary consolidation is again identified more pronounced on the left and appears increased,, examination pa and lat views of the chest comparison none available clinical indication chest congestion and cough findings ill defined nodular opacity measuring ,,,,,,,,,,,,,,,,,,,,, loculated pneumothorax or pneumatocele could have this appearance,, mild cardiomegaly without congestive heart failure, mediastinum normal heart size,,,,,,,,,,,,,,, bones soft tissues mild degenerative changes of the thoracic spine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63, the cardiac silhouette and mediastinal contours are within normal limits for age,,,, mild patchy atelectasis or scarring within the posterior lung base,,,,,, patchy density right upper lobe is of concern for aspiration or developing infiltrate, left greater than right pulmonary consolidation is increased and is consistent with aspiration and or pneumonia,, cm nodular opacity seen on the pa view of the chest,,,,,,,,,,,,,,,,,,,,, the pulmonary parenchyma is clear without focal findings such as consolidation mass effusion or pneumothorax,, findings there is cardiomegaly, cardiac upper limit normal heart size midline trachea patent,,,,,,,,,,,,,,, degenerative changes in spine and shoulder girdles persisting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64, heart and mediastinum within normal limits,,,, minimal left basilar scarring or atelectasis is present,,,,,, report impression small right upper lobe aspiration versus developing infiltrate, the lungs are without gross focal consolidation,, correlate with rib exam date findings there is a large right perihilar mass now with moderate confluent right upper lobe opacity extending from the hilum peripherally with moderate right upper lobe volume loss,,,,,,,,,,,,,,,,,,,,, pneumothorax none,, stable cardiomegaly, the heart size is normal,,,,,,,,,,,,,,, there are glenohumeral degenerative changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65, findings heart size is within normal limits,,,, some of this was apparent previously and may represent atelectasis or scarring however there may be a mild increase compared to the previous examination,,,,,, there is mild perihilar atelectasis and or infiltrates, mild pulmonary consolidation as before,, there is linear subsegmental airspace opacity demonstrated in the lower lung zones likely representing atelectasis or scarring,,,,,,,,,,,,,,,,,,,,, indication history pneumothorax,, again demonstrated is cardiomegaly, heart size and pulmonary vessels are normal,,,,,,,,,,,,,,, bones and soft tissues degenerative changes of the a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66, pulmonary vessels are is within normal limits,,,, there are a few streaky linear densities at the right lung base consistent with subsegmental atelectasis or scarring which is unchanged,,,,,, impression expiratory exam with perihilar atelectasis and or infiltrates and central airway thickening, lung fields are well aerated without consolidation or effusion,, impression mildly improved lung inflation with subsegmental airspace opacity in the lower lung zones likely atelectasis or scarring,,,,,,,,,,,,,,,,,,,,, findings lungs pleura small to moderate left apical pneumothorax measuring ,, cardiomegaly and interstitial edema, the heart size is stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67, history tb screen findings exams report header chest pa report body findings cardiac size and pulmonary vasculature are within normal limits,,,, increasing linear densities seen in both lung bases which may be from increasing atelectasis,,,,,, lungs are well expanded and free of acute infiltrate, mild to moderate improvement and increased aeration of more dense consolidation in the left lung field as well as slight reduction in left pleural effusion,, mm nodular opacity projects over the lateral left midlung,,,,,,,,,,,,,,,,,,,,, modestly increased size of the left apical pneumothorax now small to moderate,, there is moderate cardiomegaly there is indistinct prominence of the pulmonary venous structures consistent with mild pulmonary venous congestion, heart size is normal with atherosclerotic plaques in the aorta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68, cardiac the cardiac silhouette is within normal limits,,,, changes felt to be secondary to a shallow inspiratory level with increasing linear atelectasis or fibrosis in the left costophrenic angle,,,,,, history infiltrate findings exams report header xr chest port vw report body technique portable chest, the lungs are without gross focal consolidation,, impression mm nodular opacity projecting over the lateral left midlung,,,,,,,,,,,,,,,,,,,,, findings comparison date lungs normal pneumothorax none,, comparison date findings cardiomegaly appears unchanged, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69, the heart and mediastinal structures are within normal limits,,,, there is a small area of linear atelectasis in the right lower lobe,,,,,, there is a patchy left midlung and right upper lung infiltrate, findings extensive consolidation in the right lower lobe consistent with pneumonia,, impression diffuse patchy airspace opacity throughout both lungs concerning for pneumonia,,,,,,,,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, impression cardiomegaly central venous congestion and mild interstitial edema appears stable from the comparison study, cardiac heart size at the upper limit of normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70, final dictated by doctor name dictated dt tm date time am signed by doctor name signed electronic signature date time am transcribed by technician name examination frontal and lateral radiographs of the chest comparison none history cough and sore throat findings the cardiomediastinal silhouette is within normal limits,,,, right lower lobe linear atelectasis,,,,,, right upper lobe and left midlung infiltrate new from prior exam recommend correlation for pneumonia, less pronounced consolidation extends into the superior segment of the right lower lobe,, minimal perihilar opacity with volume loss consistent with atelectasis,,,,,,,,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, findings there is evidence for cardiomegaly, findings heart size is within limits of normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71, pulmonary vasculature is within normal limits,,,, comparison date findings patchy areas of atelectasis are identified in the mid and lower lung zones,,,,,, right upper lobe aspiration versus infiltrate, the pulmonary parenchyma appears normal without focal findings such as mass consolidation or effusion,, abnormal opacity at the left base is likely scarring or atelectasis,,,,,,,,,,,,,,,,,,,,, pneumothorax none,, findings there is mild cardiomegaly, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72, the visualized bony structures are within normal limits,,,, impression patchy areas of bilateral mid and lower lung zone atelectasis and small bilateral pleural effusions,,,,,, mild left basilar atelectasis or early infiltrate, more focal consolidation seen overlying the bases,, interval improvement in the right upper lobe consolidative opacity with residual probable post infectious and or inflammatory scar,,,,,,,,,,,,,,,,,,,,, the lung fields are clear and well expanded without infiltrate mass effusion or pneumothorax,, mild cardiomegaly and aortic atherosclerosis, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73, findings heart size is within normal limits,,,, stable right and increasing left subsegmental atelectasis,,,,,, small infiltrate in left lung base and in the right lower lobe along the left upper lobe, bilateral consolidations left greater than right consistent with superimposed atelectasis or pneumonia,, there is a retrocardiac opacity,,,,,,,,,,,,,,,,,,,,, small bilateral pleural effusions without a pneumothorax,, cardiomegaly with a mild to moderate degree of pulmonary edema and small bilateral pleural effusions, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74, bone mineralization appears within normal limits,,,, bilateral pleural effusions seen significantly larger on the right side with associated areas of compressive atelectasis,,,,,, left basal infiltrate, multifocal opacities consistent with consolidation versus atelectasis,, mild bibasilar linear strandy parenchymal opacity,,,,,,,,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, cardiomegaly, the heart size is enlarged and the overlying densities makes the heart border indistinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75, findings heart size is within normal limits,,,, patchy bibasilar densities could represent atelectasis pneumonia or aspiration,,,,,, right lower lobe infiltrate and left upper lobe infiltrates, right pleural effusion with atelectasis versus consolidation in the base as well as the midlung,, findings the lungs are clear without focal opacity,,,,,,,,,,,,,,,,,,,,, right sided picc line appears to have been reposition from the left brachiocephalic into the svc appropriately positioned without pneumothorax,, cardiomegaly this report was electronically signed by doctor name on date time pm, heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76, pulmonary vessels are within normal limits,,,, findings most consistent with worsening pleural effusions and probable underlying compressive atelectasis,,,,,, there is moderate interstitial density in the medial right lower lobe consistent with acute infiltrate, lungs low lung volumes with bilateral basilar atelectasis and or consolidations,, findings lungs mild patchy opacity in the left lower lobe probably mild pneumonia,,,,,,,,,,,,,,,,,,,,, study is negative for rib fracture or hemopneumothorax,, history recent wheezing findings exams report header chest x ray v report body cardiomegaly is present, the heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77, bone mineralization is within normal limits,,,, there is atelectasis in the right lung base,,,,,, acute infiltrate medial right lower lobe, persistent lower lung zone consolidation atelectasis and pleural effusions,, findings lungs pleura new right basilar opacity most consistent with pneumonia,,,,,,,,,,,,,,,,,,,,, left lung is well expanded and clear of contusion or pneumothorax,, impression cardiomegaly as discussed above without additional suggestion of active disease, heart size and mediastinal contour appear within normal limits given technique and lung volumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78, heart size pulmonary vasculature and mediastinal contour appear within normal limits,,,, there is bibasilar atelectasis,,,,,, there is diffuse infiltrate seen within the lungs suggesting pulmonary edema,,, right basilar opacity consistent with pneumonia,,,,,,,,,,,,,,,,,,,,, right lung is well expanded and clear of contusion or pneumothorax,, stable cardiomegaly and mediastinal widening, pa and lateral chest indication dyspnea comparison date findings heart size is mildly enlarged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79, the heart seems to be within normal limits,,,, cardiomegaly and bibasilar atelectasis,,,,,, mild left basilar atelectasis or infiltrate is seen,,, there is new patchy peribronchial opacity in the retrocardiac left lower lung,,,,,,,,,,,,,,,,,,,,, findings lungs normal pneumothorax none,, cardiomegaly, report impression heart size upper normal with prominent peripheral pulmonary vasculature may represent underlying heart disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, the cardiac silhouette and mediastinal contours are within normal limits,,,, left basilar atelectasis or pneumonia,,,,,, mild left basilar atelectasis or infiltrate,,, the patchy peribronchial opacity in the retrocardiac left lower lobe is most likely subsegmental atelectasis,,,,,,,,,,,,,,,,,,,,, findings the lungs are clear without evidence of focal pneumonia pneumothorax adenopathy or effusion,, findings there is cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81, soft tissues within normal limits,,,, right basilar atelectasis,,,,,, there is increased opacity within the left lower lobe concerning for acute infiltrates,,, there is left lower lung opacity unchanged,,,,,,,,,,,,,,,,,,,,, there is a small right sided pneumothorax which appears stable in size,, cardiomegaly, the heart size is normal for degree of inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82, the cardiomediastinal contours are within normal limits,,,, findings there is linear atelectasis or scarring in both lung bases,,,,,, findings concerning for left lower lobe infiltrate,,, there is lateral right mid lung opacity increased,,,,,,,,,,,,,,,,,,,,, impression small right sided pneumothorax is stable,, heart and mediastinum unchanged cardiomegaly with multiple mediastinal surgical clips, findings heart size and pulmonary vascularity are normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83, heart and mediastinum within normal limits,,,, on the lateral view opacity in the posterior inferior lung base probably in the left lower lobe likely reflects atelectasis although a developing focal area of infiltrate would be difficult to exclude,,,,,, there is a moderate size left pleural effusion with left lower lung field consolidation in keeping with atelectasis and or pneumonic infiltrate in the appropriate clinical setting,,, findings the lungs are clear without focal opacity,,,,,,,,,,,,,,,,,,,,, final dictated by doctor name dictated dt tm date time pm signed by doctor name signed electronic signature date time pm transcribed by technician name examination xr chest view portable date pm comparison xr chest view portable date am history pneumothorax,, cardiomegaly, heart size and pulmonary vascularity are normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84, cardiac and mediastinal contours are within normal limits,,,, there is bibasilar atelectasis or scarring,,,,,, moderate size left pleural effusion with left lower lung field consolidation in keeping with atelectasis and or pneumonic infiltrate in the appropriate clinical setting,,, hazy increased airspace opacity infrahilar region on the right,,,,,,,,,,,,,,,,,,,,, interval decrease in left pneumothorax size after placement of what appears to be a smallbore chest tube,, there is cardiomegaly, the heart size is stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85, pulmonary vasculature within normal limits,,,, strand like opacity of left infrahilar region consistent with atelectasis,,,,,, there is a left lower lung infiltrate,,, lungs lungs are normal expanded without focal opacity,,,,,,,,,,,,,,,,,,,,, there has been resolution of the pneumothorax seen on the previous exam,, borderline cardiomegaly, heart size is normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86, heart and pulmonary vascular size are within normal limits,,,, low lung volumes with perihilar and bibasilar opacity most consistent with postoperative atelectasis,,,,,, report impression left lower lung infiltrate pneumonia,,, lungs the patchy areas of groundglass and consolidation seen on the prior exam have become more confluent and are superimposed on the coarse reticular opacity seen on the prior exam,,,,,,,,,,,,,,,,,,,,, resolution of the pneumothorax seen on date this report was electronically signed by doctor name on date time pm,, there is cardiomegaly, findings heart size is within normal limits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87, the visualized bony structures are within normal limits,,,, bilateral pleural effusions and bilateral lower lobe airspace opacities which could be consistent with atelectasis or consolidation,,,,,, findings single view of the chest demonstrates subtle atelectasis versus infiltrate in the inferior left lung base,,, improvement of left basilar infiltrative opacity and pleural reaction,,,,,,,,,,,,,,,,,,,,, pneumothorax none,, report impression findings are concerning for copd with cardiomegaly, heart size is within the upper limits of normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88, pulmonary vasculature within normal limits,,,, history resp failure findings exams report header chest x ray v report body there are bibasilar areas of atelectasis,,,,,, mild atelectasis versus subtle infiltrate in the inferior left lung base with mild peribronchial thickening,,, findings lungs focus of opacity in the right middle lung with some central lucency,,,,,,,,,,,,,,,,,,,,, interval removal of the right ij swan ganz catheter and chest tubes without a pneumothorax,, mild cardiomegaly, history preop findings exams report header chest v report body heart size is normal and lung fields are clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
